Entity,Embedding_1,Embedding_2,Embedding_3,Embedding_4,Embedding_5,Embedding_6,Embedding_7,Embedding_8,Embedding_9,Embedding_10,Embedding_11,Embedding_12,Embedding_13,Embedding_14,Embedding_15,Embedding_16,Embedding_17,Embedding_18,Embedding_19,Embedding_20,Embedding_21,Embedding_22,Embedding_23,Embedding_24,Embedding_25,Embedding_26,Embedding_27,Embedding_28,Embedding_29,Embedding_30,Embedding_31,Embedding_32,Embedding_33,Embedding_34,Embedding_35,Embedding_36,Embedding_37,Embedding_38,Embedding_39,Embedding_40,Embedding_41,Embedding_42,Embedding_43,Embedding_44,Embedding_45,Embedding_46,Embedding_47,Embedding_48,Embedding_49,Embedding_50
http://purl.obolibrary.org/obo/MONDO_0020366,0.03399498,0.011243677,0.031313952,0.014806468,-0.03844672,-0.024272509,-0.0047554756,0.017073333,0.004742951,-0.018536704,0.021871768,0.015948525,-0.012496454,0.017078135,-0.0021559002,-0.008950252,-0.016965467,0.0070578693,0.009030416,-0.005896274,0.014534316,0.003983684,0.013769499,-0.023096217,-0.0002495342,-0.002568267,0.007303836,0.016683714,-0.030616956,-0.019347724,0.016612122,-0.0060186647,0.005571906,-0.0045713047,0.02838491,-0.0011236981,0.007637539,-0.0066990084,-0.018230872,-0.016464496,-0.01618837,-0.008612573,-0.028730873,0.010891028,-0.0005678092,0.0020369994,-0.025922092,-0.0040145055,0.02455735,0.019463398
http://purl.obolibrary.org/obo/MONDO_0012812,0.06569972,0.019865707,0.05696348,0.022683727,-0.06701881,-0.041626524,-0.0044955374,0.028545601,0.00802452,-0.03503702,0.037680887,0.027879916,-0.022145247,0.032847367,-0.00088564365,-0.017700233,-0.03199805,0.012830981,0.014907766,-0.009963214,0.021935582,0.005880083,0.022033699,-0.044472963,0.0030870596,-0.0012815866,0.019206073,0.031022616,-0.05661174,-0.03629634,0.034665115,-0.007512504,0.009382809,-0.007795916,0.055351533,0.00021051992,0.009976181,-0.013328887,-0.031140424,-0.031908408,-0.02991615,-0.013952498,-0.047419038,0.019022286,-0.0013040066,0.000599933,-0.043698378,-0.007335537,0.047057707,0.034580607
http://www.ncbi.nlm.nih.gov/gene/246181,0.0071014385,0.0028137534,0.007842132,0.0034254468,-0.010727499,-0.005817898,-0.001079308,0.0024224836,-0.00038590556,-0.0062448345,0.0058709476,0.0048525333,-0.0012235837,0.004364038,-0.0019695302,-0.0032775148,-0.0037448704,0.0031022958,0.001845134,-0.00090929825,0.003805857,0.0019047809,0.0017664438,-0.0072749807,0.0018470156,-0.0017488978,0.0034787764,0.0044514807,-0.009063386,-0.0035256783,0.002688695,-0.00030646686,0.00050211576,-0.00034640566,0.0051195845,-0.0010004949,0.0032630395,-0.00028688216,-0.0062274397,-0.0032687918,-0.002184517,-0.0008877684,-0.0053279386,0.0045383126,-0.0012080963,0.0022319653,-0.0040838826,-0.0031200924,0.0052406467,0.0043353806
http://www.ncbi.nlm.nih.gov/gene/55253,0.0047837575,0.0002766704,0.0016901325,0.0015476382,-0.0043296665,-0.0041804197,-0.002293368,-3.513921e-05,-0.00030690688,-0.0012575237,0.0035879805,0.0032509824,-0.00083617575,0.001951365,-0.002040896,-0.0025783426,-0.002434063,0.0015067683,-0.0010125143,-0.0022789584,-0.00044185453,0.0023436907,0.001143208,-0.0029108324,0.00045650892,0.0010720901,0.00042986328,-1.7939819e-06,-0.0042997114,-0.0037547515,0.0036209389,0.00030181248,0.00020413502,-0.0018621346,0.0036015138,-0.001829623,-0.00026811,-0.0004347428,-0.003816889,0.00022685228,-0.0036050202,1.4319183e-05,-0.0042449096,0.0017198983,-0.00070275046,0.0009430974,-0.0021962067,-0.001794594,0.003670833,0.0006919842
http://www.ncbi.nlm.nih.gov/gene/646960,0.073240064,0.024944112,0.07020193,0.030038374,-0.08193325,-0.052101597,-0.0070287655,0.032754846,0.007878388,-0.04256729,0.04128901,0.033773955,-0.030001635,0.038057763,0.0001129866,-0.019969955,-0.036459193,0.01587779,0.014999898,-0.010601654,0.027864479,0.007973926,0.02946134,-0.055814944,0.0028039615,-0.004069489,0.017603619,0.03834401,-0.06649379,-0.03986936,0.040998038,-0.009694505,0.008764301,-0.0087365685,0.062133145,0.003054344,0.014446213,-0.015789777,-0.040645584,-0.036475245,-0.03881577,-0.016530963,-0.0594623,0.026139388,0.00052081776,0.0036273405,-0.052860808,-0.0111170355,0.055868037,0.03575786
http://www.ncbi.nlm.nih.gov/gene/163782,0.0012180855,0.0024597459,0.0030124395,0.00012845574,-0.0035738875,-0.002450143,-0.00065442023,0.0009217735,0.0011547726,-0.0032336572,-0.00041864038,0.0029890132,-0.0021701183,0.0031826769,-0.001921672,-0.00054263935,-0.002844907,0.0005036642,0.001860928,0.00040658715,0.0013525632,-0.0012444676,0.00053672027,4.119714e-05,0.0018462855,0.00046655952,0.00031090475,0.0029351227,-0.0006296629,-0.0034721375,0.002667545,0.00039909346,0.0015093581,-0.0008393462,0.0030310082,0.0009882229,-0.0012565211,-0.0011031971,-0.0033289883,-0.00070208416,-0.0027923281,0.0004632497,-0.0027776053,0.0003488353,0.0013882918,0.001383137,-0.002192864,0.00021533832,0.002929463,4.5181223e-05
http://www.ncbi.nlm.nih.gov/gene/727851,0.0056857727,0.0012066003,0.00748479,0.00064826943,-0.0073830876,-0.0053297365,-0.0006078656,0.0050130994,0.00069759414,-0.002804937,0.0028132529,0.0036491957,-0.0018465699,0.0049969726,-0.0013596606,-0.0013854924,-0.0021594798,-0.00024520082,0.0022971476,0.00057644234,0.00069098413,0.0014923116,0.0041950084,-0.0031662697,-0.0013899606,-0.0009050713,-0.00013218624,0.0036756909,-0.005365894,-0.004181566,0.003132747,-0.0005586931,-0.0001411076,-0.0011850906,0.0038089305,-0.00074744644,-0.000111026224,-0.0027733385,-0.001582511,-0.0020638397,-0.0047491794,-0.0008802431,-0.0060465937,0.0017713361,-0.0013850083,0.0022551639,-0.0051278067,0.00036544396,0.006750365,0.0016673644
http://www.ncbi.nlm.nih.gov/gene/574032,0.05446854,0.018058026,0.05153668,0.019003045,-0.059820473,-0.038684107,-0.0077734063,0.02466048,0.0032977862,-0.032166183,0.030356344,0.025716897,-0.020977369,0.028188016,-0.002111247,-0.01719422,-0.0273581,0.01066806,0.012170147,-0.0103412485,0.021332584,0.0059081586,0.019841285,-0.04161299,0.0015633359,-0.00081030576,0.016263459,0.028202368,-0.04962515,-0.031737152,0.027938155,-0.0068071564,0.008319297,-0.0043551615,0.04614901,0.00102151,0.008027835,-0.010553123,-0.029332643,-0.027706794,-0.026179776,-0.012865727,-0.042034753,0.019958807,-0.0008138063,0.0010758919,-0.03981746,-0.0069273477,0.040143747,0.02851698
http://www.ncbi.nlm.nih.gov/gene/3809,0.0054176687,0.0013412425,0.0049627097,0.001627662,-0.0051411367,-0.0020938914,-0.0022082103,0.0037212337,0.00017893832,-0.0028409215,0.0046587037,0.0035389154,-0.0035193395,0.0021937988,-0.0014896397,-0.0005270094,-0.0013960232,0.0030140185,-0.00019926643,-0.0013916206,0.0017893651,0.0011528695,0.0013598321,-0.003526939,0.0013221303,-0.00022868316,0.00022741445,0.0024434875,-0.0052304287,-0.0046149706,0.0007998947,0.00022179578,0.0014523861,-0.0014163279,0.0043253396,0.0014562525,0.00046351322,-0.002553378,-0.0033628552,-0.00030877083,-0.0015768574,-0.0015224481,-0.004750885,0.0026853643,0.0010320718,0.0010204555,-0.0031361224,-0.0012040175,0.004400365,0.0011071255
http://www.ncbi.nlm.nih.gov/gene/390433,0.0070965574,0.003452795,0.007209775,0.004493733,-0.0071555204,-0.0040865648,-0.0002944303,0.003913921,0.0016053927,-0.0027151958,0.0033894998,0.0041281926,-0.0025903876,0.0054653254,0.0015977477,-0.0033743803,-0.004098566,0.0030668417,0.0023770332,-0.0017515492,0.0008985749,0.00035151019,0.0035759415,-0.00702472,0.00043651814,-0.0013205523,0.0023470873,0.003942513,-0.007291488,-0.003227833,0.0021345424,-0.00040186275,0.0018739925,-0.0023142872,0.00768976,-0.001230126,0.0013377519,-0.0021946293,-0.0043342444,-0.004785241,-0.004292981,-0.0020948267,-0.005380963,0.0013064814,0.0017637161,4.776806e-05,-0.0035684314,-0.0014002519,0.007239077,0.0049230256
